processing categories in: /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc11-categories.txt
Sales Executive	Advertising Sales Executive
Director of Nursing	Administrative Director
Store Manager	Sales Manager
Construction Manager	Construction Supervisor
Project Coordinator	IT Project Coordinator
Quality Assurance (QA) Manager	Quality Assurance Engineer
Business Development Director	Business Development Manager
Business Development Executive	Business Development Manager
Plant Manager	Plant Operator
Residential Manager	Residential Counselor
Compliance Officer	Banking Officer
Contracts Administrator	Contract Analyst
Project Administrator	Contracts Administrator
Benefits Administrator	Contracts Administrator
Laboratory Manager	Production Manager
Project Leader	Project Lead
Assistant Vice President (AVP)	Assistant to the Vice President
Regional Operations Manager	Operations Manager
Vice President (VP) of Sales	Vice President
Maintenance Director	Maintenance Coordinator
Vice President (VP) of Operations	Vice President
Property Administrator	Contracts Administrator
Vice President (VP) of Marketing	Vice President
Rehabilitation Manager	Director of Rehabilitation
Finance and Insurance Manager	Finance Manager
Call Center Manager	Call Center Agent
Dietary Manager	Food Service Manager
Facilities Administrator	Contracts Administrator
Residence Director	Resident Assistant
Director of Analytics	Research Analyst
Credit Risk Manager	Credit Manager
Business Administrator	Contracts Administrator
Academic Director	Library Director
Facilities Manager	Maintenance Manager
Director of Risk Management	Risk Manager
Claims Manager	Claims Assistant
Business Banking Relationship Manager	Relationship Manager
Vice President (VP) of Engineering	Vice President
Grants Administrator	Accountant
Director of Transportation	Transportation Manager
Director of Training	Child Care Director
Director of Patient Access	Medical Director
Director of Materials	Materials Manager
Director of Clinical Research	Clinical Research Coordinator
Store Director	In-Store Banker
Sales Administrator	Contracts Administrator
Risk and Assurance Manager	Risk Manager
Resource Leader	Production Leader
Planning Administrator	Contracts Administrator
Nurse Manager Oncology	Nurse Manager
Medical Supervisor	Medical Technologist
Intelligence Manager	Business Intelligence Manager
Hospital Area Manager	Area Manager
Financial Administrator	Contracts Administrator
Distribution Group Leader	Production Leader
Agency Manager	Sales Manager
Director of Retail	Marketing Director
Training Administrator	Contracts Administrator
Subcontracts Administrator	Senior Buyer
Research Administrator	Contracts Administrator
Regional Administrator	Contracts Administrator
Real Estate Administrator	Contracts Administrator
Implementation Leader	Implementation Consultant
Cost Manager	Cost Accountant
Control Leader	Audit Leader
Continuous Improvement Leader	Continuous Improvement Engineer
Clinical Research Manager	Clinical Research Coordinator
Chief Engineer	Maintenance Assistant
Business Development Officer	Business Development Manager
Research Manager	Research Analyst
Mobility Manager	Warehouse Manager
Marketing Administrator	Contracts Administrator
Compliance Administrator	Contracts Administrator
Process Manager	Process Operator
Nurse Director	Director of Nursing
Finance Administrator	Contracts Administrator
Director of Merchandising	Director of Operations
Affairs Manager	Regulatory Affairs Manager
Field Service Manager	Maintenance Manager
Clinic Supervisor	Clinical Supervisor
Business Office Manager	Office Manager
Application Support Manager	IT Support Manager
Vice President (VP) of Technology	Vice President
Vice President (VP) of Compliance	Vice President
Director of Research and Development	Director of Research
Value Manager	Training Manager
Public Relations Manager	Director of Public Relations
House Manager	Installation Manager
Vice President (VP) of Strategy	Vice President
Vice President (VP) of Quality Management	Vice President (VP) of Risk Management
Fraud Manager	Fraud Investigator
Business Analytics Manager	Quality Assurance Analyst
Vice President (VP) of Retail	Vice President
Quality Assurance (QA) Coordinator	Quality Assurance (QA) Tester
Visual Manager	Sales Manager
Training Consultant	Consultant
Shop Manager	Manufacturing Manager
Program Supervisor	Residential Supervisor
Operations Administrator	Office Administrator
Credit Administrator	Contracts Administrator
Controller	Assistant Controller
Compliance Coordinator	Training Coordinator
Director of Advertising	Sales Director
Sales Officer	Sales Representative
Research Coordinator	Project Coordinator
Coding Manager	Medical Coding Manager
Nurse Manager Intensive Care Unit (ICU)	Intensive Care Unit (ICU) Nurse
Environmental, Health, and Safety (EHS) Manager	Safety Manager
soc11 Accuracy (%): 73.6196319018 (360/489)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc13-categories.txt
Mortgage Consultant	Consultant
Planning Analyst	Business Analyst
Entry Level Sales	Sales Representative
Consumer ln Underwriter	Mortgage Underwriter
Financial Consultant	Consultant
Claims Analyst	Business Analyst
Assistant Buyer	Senior Buyer
Payroll Analyst	Business Analyst
Financial Advisor Trainee	Financial Advisor
Logistics Analyst	Business Analyst
Services Manager	Client Services Manager
Contracts Manager	Contract Manager
Kronos Analyst	Business Analyst
Processing Manager	Production Manager
Business Partner	Human Resources (HR) Business Partner
Purchasing Analyst	Business Analyst
Compliance Consultant	Consultant
Electrical Estimator	Estimator
Project Estimator	Estimator
Claims Manager	Claims Assistant
Loan Analyst	Business Analyst
Senior Estimator	Estimator
Operations Consultant	Consultant
Operations Support	Operations Support Representative
Inventory Analyst	Systems Analyst
PMO Analyst	Business Analyst
Staffing Consultant	Consultant
ERP Consultant	Consultant
Assurance Manager	Risk and Assurance Manager
Auto Appraiser	Appraiser
Residential Appraiser	Appraiser
Human Resources Lead	Human Resources Supervisor
Seasonal Tax Preparer	Tax Preparer
Operations Trainer	Technical Trainer
Mechanical Estimator	Estimator
Lead Consultant	Consultant
Support Analyst	IT Support Analyst
Senior Planner	Transportation Planner
Planning Manager	Sales Manager
Pricing Analyst	Research Analyst
Customer Service Analyst	Customer Service Representative
Auto Adjuster	Auto Body Painter
Mortgage Analyst	Business Analyst
Executive Recruiter	Recruiter
Lead Manager	Marketing Manager
Financial Services Manager	Patient Services Manager
Human Resource Analyst	Human Resources Analyst
Loan Consultant	Consultant
Billing Analyst	Billing Specialist
Parts Analyst	Business Analyst
Human Resources (HR) Consultant	Human Resources (HR) Manager
Training Assistant	Administrative Assistant
Training Analyst	Business Analyst
Systems Accountant	Accountant
Structural Analyst	Structural Engineer
Sales Operations Analyst	Operations Analyst
Regional Analyst	Research Analyst
Property Underwriter	Mortgage Underwriter
Payroll Accountant	Accountant
Merchandise Planner	Event Planner
Marketing Strategist	Research Analyst
Marketing Consultant	Consultant
Management Liaison	Project Manager
Logistics Operator	Logistics Supervisor
Lending Officer	Lending Underwriter
Event Director	Event Planner
Energy Analyst	Business Analyst
Benefits Coordinator	Training Coordinator
Analytics Leader	Research Analyst
Strategic Planner	Programmer
Staff Analyst	Staff Software Developer
Sales Analyst	Assistant Analyst
Property Analyst	Business Analyst
Logistics Planner	Event Planner
Investment Consultant	Consultant
Inventory Accountant	Accountant
Government Consultant	Consultant
Finance Consultant	Consultant
Relations Analyst	Business Analyst
Principal Accountant	Accountant
Operations Accountant	Accountant
Energy Consultant	Consultant
Distribution Analyst	Research Analyst
Credit Underwriter	Mortgage Underwriter
Accountant Controller	Accountant
Oil and Gas Accountant	Accountant
Credit Officer	Credit Manager
Consulting Operations	Consulting Manager
Benefits Consultant	Benefits Administrator
Training Consultant	Consultant
Manufacturing Analyst	Business Analyst
Implementation Coordinator	Implementation Engineer
Financial Coordinator	Administrative Coordinator
Credit Administrator	Contracts Administrator
Compliance Coordinator	Training Coordinator
Accounting Analyst	Business Analyst
Content Analyst	Business Analyst
soc13 Accuracy (%): 66.339869281 (203/306)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc15-categories.txt
Junior Software Engineer	Software Engineer
IT Network Administrator	IT System Administrator
Application Developer	Java Developer
Information Systems Security Engineer	Security Engineer
Clinical Systems Analyst	Systems Analyst
IT Manager	Information Technology (IT) Manager
IT Field Technician	Field Technician
Senior IT Consultant	Staff Consultant
IT Support Manager	Manager of Applications
Process Analyst	Process Improvement Analyst
IT Field Engineer	Field Engineer
Information Security Architect	Information Architect
Reporting Analyst	Business Analyst
Graphics Software Engineer	Software Engineer
Release Manager	Project Manager
Senior Java Software Engineer	Software Engineer
Telecommunications Engineer	Systems Engineer
Help Desk Analyst	IT Help Desk Specialist
IT Subject Matter Expert	Logistics Support Manager
Communications Engineer	Mechanical Engineer
Delivery Manager	Program Manager
Senior Technician	Engineering Technician
Content Developer	Java Developer
Database Report Writer	Reports Writer
Server Engineer	Software Engineer
Performance Analyst	Business Analyst
Quantitative Developer	Java Developer
Logistics Analyst	Business Analyst
Operations Lead	Freight Operations Supervisor
Client Services Analyst	Services Manager
Project Controls Analyst	Project Analyst
Data Consultant	Managing Consultant
Cyber Security Analyst	Information Security Analyst
Software Configuration Engineer	Software Engineer
Solutions Manager	Solutions Executive
Network Designer	Network Engineer
Manager - IT Change Management	Risk Manager
User Interface Designer	User Interface Developer
IT Support Specialist	IT Help Desk Specialist
QA Specialist	Quality Control Specialist
IT Operations Specialist	Operations Analyst
Integration Manager	Systems Integration Manager
IT Support Administrator	Support Administrator
Business Intelligence Analyst	Business Analyst
Mobile Software Engineer	Software Engineer
Operations Engineer	Mechanical Engineer
Design Analyst	Business Analyst
Senior Quality Assurance Engineer	Quality Assurance Engineer
Software Specialist	Collections Specialist
Lead Information Security Engineer	Security Engineer
Solutions Analyst	Solutions Consultant
Requirements Management Analyst	Change Management Analyst
Engineer Technician	Operations Technician
Product Analyst	Research Analyst
IT Operations Administrator	Office Administrator
Software Design Engineer	Software Engineer
SQL Server SSIS Developer	SQL Developer
CRM Developer	Java Developer
AS400 RPG Programmer	Programmer
Business Intelligence Consultant	Business Consultant
Remote Developer	Java Developer
Systems Designer	Systems Administrator
Statistical Programmer	Programmer
Server Analyst	Business Analyst
Reporting Developer	Java Developer
Integration Technician	Aircraft Technician
Geospatial Analyst	Business Analyst
Communications Analyst	Business Analyst
Coding Analyst	Medical Coding Specialist
Clinical Data Manager	Data Manager
C# Developer	C Developer
Software Designer	Software Engineer
Data Scientist	Data Analyst
Systems Coordinator	Systems Administrator
Quality Assurance (QA) Coordinator	Quality Assurance (QA) Tester
Technician Supervisor	Pharmacy Technician
Operations Administrator	Office Administrator
Manufacturing Analyst	Business Analyst
Implementation Coordinator	Implementation Engineer
Coding Manager	Medical Coding Manager
Quality Assurance (QA) Associate	Quality Assurance Engineer
Systems Supervisor	Mechanic Supervisor
Content Analyst	Business Analyst
soc15 Accuracy (%): 76.0101010101 (301/396)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc17-categories.txt
Operations Engineer	Mechanical Engineer
Facilities Engineer	Mechanical Engineer
Planning Engineer	Mechanical Engineer
Protection Engineer	Mechanical Engineer
Radio Frequency Technician	Radio Frequency Engineer
Control Specialist	Business Control Analyst
Compliance Engineer	Mechanical Engineer
Engineering Analyst	Engineering Technician
Engineering Assistant	Engineering Technician
Lead Electrical Engineer	Electrical Engineer
Marine Engineer	Mechanical Engineer
Stress Analyst	Stress Engineer
Optical Engineer	Mechanical Engineer
Telecommunications Engineer	Systems Engineer
Quality Control Lead	Quality Control Inspector
Flight Engineer	Mechanical Engineer
PLC Technician	PLC Maintenance Technician
Engineering Technologist	Engineering Technician
Project Coordinator	IT Project Coordinator
Planner	Production Planner
NDT Inspector	NDT Technician
Project Leader	Project Lead
Utilities Engineer	Mechanical Engineer
I & C Technician	Engineering Technician
Engineering Coordinator	Engineering Technician
Turbine Engineer	Mechanical Engineer
Packaging Technician	Engineering Technician
Installation Engineer	Mechanical Engineer
Wiring Engineer	Mechanical Engineer
Process Improvement Manager	Process Manager
Circuit Design Engineer	Design Engineer
